615349010,제주곤이칼국수 문정점,구름,5.0,2024.04.18.,"친절하다
알이 신선한지 고소하다
국물이 시원하다"
615349010,제주곤이칼국수 문정점,새순맘,5.0,2024.03.15.,"너무 맛있게 금방 먹어서 사진을 못 찍었어요~~ 얼마 전에 제주도에서도 고기국수 먹었는데 아이가 제주도보다 여기가 더 맛있다고 하네요^^ 고기 국물도 진하고 맛있어요. 고기 비빔칼국수도 너무 짜지 않고 맛있어요~ 문정역 숨은 맛집이예요♡♡ 번창하세요^^

ㅡㅡㅡㅡㅡ
23년10월 11일에 또 왔어요^^ 맛있게 먹고 갑니다. 알감자전도 너무 맛있어요^^
ㅡㅡㅡㅡㅡㅡ
거의 한달에 한 번은 꼭 오는 거 같아요~ ㅎㅎㅎ 번창하세요^^"
615349010,제주곤이칼국수 문정점,🍒,5.0,2023.07.07.,"제주곤이칼국수 짱맛!
알이랑 곤이 맘껏 먹고 싶으면 여기로 오세요!
양도 진짜 많고 사장님 너무 친절하셔서 감동 그잡채,, 서브웨이 옆에 있는 에스컬레이터 타시면 바로 보여요 오는길이 조금 어렵던데 꼭 와서 드셔보세요ㅠㅠ 숨어 있는 맛집!"
615349010,제주곤이칼국수 문정점,오,5.0,2023.06.30.,사장님과 직원분들이 정말 정말 친절하셔서 꼭 잘 되셨으면 좋겠습니다! 곤이칼국수 양도 많고 맛있구요. 알감자전도 바삭하고 맛있었어요. 재방문 의사 100000%
615349010,제주곤이칼국수 문정점,2020 이상준,5.0,2023.05.21.,"맛잇고 가성비 좋고
점심때는 웨이팅 있지만
저녁때는 안주 메뉴에 소주 한잔하기
좋네요"
615349010,제주곤이칼국수 문정점,이상민,5.0,2023.05.20.,맛있게 잘 먹었습니다~
388725832,prt prt,찢어,1.0,2024.03.10.,no mat
388725832,prt prt,도린곁,5.0,2024.02.01.,인테리어도 깔끔하고 예전보다 다양한 메뉴가 생겨서 좋아요
388725832,prt prt,chanlanlee,5.0,2024.01.25.,"다시 가고픈 곳
라떼 맛집이에요"
1218590343,어머이밥상,/,5.0,2024.06.19.,"항상 친절하고 웃으며 반겨주시고 저렴한 가격에 맛있고 따뜻한 밥 챙겨주셔서 감사합니다
없어져서 너무 아쉽네요 ㅜㅜ"
1218590343,어머이밥상,º일⃢ º,1.0,2023.10.25.,혼자가면 홀대당함
1218590343,어머이밥상,민경,5.0,2023.05.21.,"가정집스타일 밥을 먹고싶을때 가는곳입니다
사장님도 친절해요"
1218590343,어머이밥상,Livvy,4.0,2023.05.14.,"갈치조림 2인분! 19000원이라서 가성비 진짜 좋은듯!!  갈치도 한 6토막?정도 들어있었던거 같아요 웬만하면 다 먹을라고 했는데 갈치 한토막이랑 무우 4개정도 남김 ㅠ 무우 진~~~~~짜 부드러움!!

밑반찬 많이 나오고 김도 기본 밑반찬이라 좋아요~ 갈치조림 간이 좀 빨갛고 꾸덕? 했어서 전라도밥상 느낌인듯? 좀 짠것 빼고는 좋았습니다! 

근데 매장에 꿉꿉한냄새가 약~~간 나요! 예민한 사람은 안가시는게 좋을듯"
1218590343,어머이밥상,sunsun,5.0,2023.04.15.,
1218590343,어머이밥상,황금혜선,5.0,2022.10.17.,"맛있는 집밥같은 상차림.
인심좋고 친절하신 사장님.
부담없는 한끼식사로 좋습니다^^"
1218590343,어머이밥상,호준,5.0,2022.09.06.,이 동네 꼭 있어야 하는 백반집. 반찬 여러개 차려 놓고 집밥 먹듯이 밥 먹고 싶은 날 여기 갑니다. 남자 사장님이 손님 응대를 잘 해요.
1218590343,어머이밥상,정원선,5.0,2022.05.18.,이만한 식당도 없다고 생각해요.
1218590343,어머이밥상,Hun's,5.0,2022.02.22.,최고
1218590343,어머이밥상,기본,1.0,2022.02.20.,맛있다는 사람들이 이해가 안되는 맛
1218590343,어머이밥상,syp,5.0,2022.02.11.,친절해요
1218590343,어머이밥상,Han,5.0,2021.11.24.,동네맛집.
1218590343,어머이밥상,qwerty9944,1.0,2021.07.17.,"맛있다고 평이 좋아서 포장용기 들고 포장하러 갔는데 주방 조리하시는 아주머니는 턱스크도 아닌 아예 노마스크이고, 플라스틱 쓰레기 줄이려고 일부러 가져간 그릇에 담아달라고 하니 바빠서 어렵다고 그냥 일회용기에 담아주시네요.
맛이 좋아도 하루 확진자 1600명씩 나오는 시국에 노마스크로 말하면서 조리한 음식을 먹고 싶지는 않네요."
1218590343,어머이밥상,리나,5.0,2021.06.30.,"주 2-3회 출근 도장 찍어요. 오징어볶음, 제육볶음 꼭 드세요ㅠ 고등어구이도 맛있고, 조림도 맛있고... 나를 살찌우는 어머이밥상..유죄..☆(그래도 반찬 덕에 야채도 많이 먹는다고 스스로 위안 삼는중)"
1218590343,어머이밥상,강달해,4.0,2021.03.19.,싸고 맛있는데 여자분은 불친절
1218590343,어머이밥상,aaa.,5.0,2021.03.15.,제육볶음 먹었는데 너무너무 맛있어요~! 반찬들도 맛있고요 ᕕ( ᐛ )ᕗ
1218590343,어머이밥상,B,5.0,2021.03.05.,"무난한 가격에 집밥같은 포근한 밥상이 나와서 종종 가게되는 곳이예요 
꽃게탕 고등어구이 오징어볶음 등등과 딸려오는 나물들 다 맛있어요"
1218590343,어머이밥상,G.lee,5.0,2021.01.28.,싸고 맛있음. 잘되는 이유가 있음
1218590343,어머이밥상,^♥^,5.0,2021.01.02.,"광진구5대 맛집이라네요
방문해서 갈치조림을 먹던중 감탄사만 몇번을 날렸는지 기억이ㅎㅎ
태이블이 몇개 없어서 피크시간때에 가면 대기 하셔야 해요 저희는 손님이몰리는 시간 피해서 가서 먹곤 하죠 또는 포장해 온답니다.
배달 라이더들도 들러 먹는 맛집은 평가부분이 매우 놉다 보심 될듯요 다음 리뷰를 꼭 촬영 해야지 ㅎㅎ몇번째 그냥 먹기만  했는데 이제야 글 쓰네요 
청결하고 맛나고 친절하고 최고 최고 여러번 말하면 입만 아파요 
2021년 코로나 물러가면 더 자주 갈듯요 
 어르신 항상 건강하셔야 해요 맛난 음식 오래 먹을수 있게~~^^"
1218590343,어머이밥상,맛있는것만먹지✨,5.0,2019.08.22.,"군자역에서 혼자점심먹으려는데 백반집 3군데에서 1인은 안받는다고 퇴짜받고 마지막으로 간 곳이네요 ㅠㅠ 
가격 6000원에 매일달라지는 메뉴
무엇보다 진짜 집밥맛이구요 맛있어요 흑

아들사장님도 넘 친절하시고 엄마사장님은 진짜 엄마같이 생기심 ㅎㅎ 반찬 부족한 것도 먼저 채워주시고 넘 잘 먹고 갑니다

자주 갈 각!!!!!"
1566670702,꿀때기곱창,버거왕,1.0,2024.03.11.,여기서 먹고 친구랑 다음날 배아파서 난리났어요..
1566670702,꿀때기곱창,Jisoo*,4.0,2024.01.24.,"1인분 포장 완전 혜자-* 
간은 좀 센편이지만 잡내없고 푸짐함
미리 전화하고 가면 바로 픽업 가능"
1566670702,꿀때기곱창,asdf,1.0,2024.01.05.,매장 들어가자마자 돼지잡내가 너무심해서 두번이나 갔다가 안먹고 그냥 나왔습니다 뭐때문인지는 모르겠지만 환기라도하시는게 나을듯요
1566670702,꿀때기곱창,이현지,1.0,2023.11.29.,돈내고 눈치보고싶으면 가세요 세상에서 제일 불친절
1566670702,꿀때기곱창,gdaefc,5.0,2023.11.25.,
1566670702,꿀때기곱창,백수미식가,4.0,2023.11.03.,"간이 좀 짜긴하지만 맛있어요.
양 많고..."
1566670702,꿀때기곱창,손재훈,5.0,2023.10.20.,맛있게 먹고 갑니다. 항상 친절하고 맛있고 양도 푸짐해서 좋습니다!
1566670702,꿀때기곱창,김원빈,5.0,2023.10.20.,양도 많고 맛있어요
1566670702,꿀때기곱창,m,5.0,2023.10.06.,"맛 빤쓰 5장 필수 
서비스 5성 호텔급
분위기 술 1짝 들어갈 기세 
굿굿!"
1566670702,꿀때기곱창,moon,2.0,2023.09.20.,양은 많은데 짜게 먹는 편인데도 간이 쎘음
1566670702,꿀때기곱창,최경임,5.0,2023.08.25.,
1566670702,꿀때기곱창,쟈쟈쟌,2.0,2023.07.22.,직원인지..알바인지 불친절하고 곱창이 너무 짜요 실수로 양념을 들이 부었나 싶을정도로 혀가 아파요
1566670702,꿀때기곱창,Goute,2.0,2023.06.09.,양은 진짜 많아요 1인분이 2인분인 줄.. 근데 너무너무 짜고 동시에 모순적이게도 곱창에 간이 안 배어있어요 볶음밥도 짭니다.. 그렇다고 양념이 딱히 맛있는 거 같지도 않았어요 조리방법은 바꾸시고 양념을 적당히 넣으셔야 할 거 같아요 참고로 기본맛도 맵습니다 신라면보다는 더 매콤하니 참고하세요
1566670702,꿀때기곱창,한재,1.0,2023.03.10.,직원들 예의 매너 없음 음식나오는시간도 오래걸림
