35480577,소망의빛,서울 서초구 양재대로 54 (우)06768,02-6081-2114,"0
점",0,,카페,[],kakao map
615349010,제주곤이칼국수 문정점,서울 송파구 법원로 114 엠스테이트 E동 지하1층 B114호 (우)05854,02-2283-1119,"5.0
점",6,월~금 11:00 ~ 22:00월~금 휴게시간 15:00 ~ 17:00,칼국수,"[""\uc81c\uc8fc \uc54c\uace4\uce7c\uad6d\uc218"", ""\uc81c\uc8fc \uace0\uae30\uce7c\uad6d\uc218"", ""\uc81c\uc8fc \uc54c\uace4\ubc25/\uace0\uae30\ubc25"", ""\uc54c\uac10\uc790\uc804"", ""\uc22f\ubd88\uac08\ube44(\uc18c)"", ""\uace0\uae30or\uae40\uce58\ub9cc\ub450"", ""\uc81c\uc8fc \uace0\uae30 \ube44\ube54\uce7c\uad6d\uc218"", ""\uc81c\uc8fc \uaf2c\ub9c9 \ube44\ube54\uce7c\uad6d\uc218"", ""\uc81c\uc8fc \uaf2c\ub9c9 \ube44\ube54\ubc25"", ""\uc54c\uace4\uc774\uc804\uace8"", ""\uc54c\uace4\ucca0\ud310"", ""\uc22f\ubd88\uac08\ube44(\ub300)"", ""\uc0bc\uacb9\uc218\uc721(\uc18c)"", ""\uc0bc\uacb9\uc218\uc721(\ub300)"", ""\uac08\ube44or\uc9ec\ubf55\ub9cc\ub450"", ""\uc2a4\ud398\uc15c\uc804\uace8(3-4\uc778\uc6a9)""]",kakao map
865621385,영 베이커리,서울 성동구 독서당로 187 3층 308호 (우)04732,010-3181-1913,"0
점",0,,"제과,베이커리","[""\uc6b0\ub9ac\ubc00 \ub2e8\ud325\ube75"", ""\ud06c\ub80c\ubca0\ub9ac/\ucd08\ucf54\uc2a4\ucf58"", ""\uc6b0\ub9ac\ubc00 \uc2dd\ube75"", ""\uce58\uc544\ubc14\ud0c0""]",kakao map
388725832,prt prt,서울 서초구 양재천로 69 1층 (우)06754,,"3.7
점",3,매일 09:00 ~ 18:00,카페,"[""\ud478\ub8fb\ud478\ub8fb"", ""prt \ub9c8\ub2c8\uc544"", ""\uc5bc\uadf8\ub808\uc774 \ubc00\ud06c\ud2f0(Hot only)"", ""\uc544\uc308 \ubc00\ud06c\ud2f0(Hot only)"", ""\ud06c\ub9bc\ud2f0(\ubc00\ud06c\ud2f0+\ud50c\ub808\uc778\uc2a4\ucf58)"", ""\uc5d0\uc2a4\ud504\ub808\uc18c \ub9c8\ub07c\uc544\ud1a0"", ""\uc544\uba54\ub9ac\uce74\ub178"", ""\ub514\uce74\ud398\uc778 \ub8fd\uace0(Hot only)"", ""\uce74\ud398\ub77c\ub5f4"", ""\uce74\ud478\uce58\ub178"", ""\ubc14\ub2d0\ub77c\ub77c\ub5bc"", ""\uce74\ud398\ubaa8\uce74"", ""\ud53c\uce58\uc6b0\ub871\ud2f0"", ""\uc6b0\ubc14 \ud2f0"", ""\ucd08\ucf54\ub77c\ub5f4"", ""\ub538\uae30\uce58\uc988\ub77c\ub5bc(Iced only)"", ""\ub9d0\ucc28 \uc232\ubb34\ub514"", ""\ucee4\ud53c \uc232\ubb34\ub514""]",kakao map
1218590343,어머이밥상,서울 광진구 천호대로112길 28 1층 (우)04985,02-456-5881,"4.3
점",20,화~금 11:00 ~ 24:00,한식,"[""\uac08\uce58\uc870\ub9bc(2\uc778\ubd84)"", ""\uace0\ub4f1\uc5b4\uc870\ub9bc(2\uc778\ubd84)"", ""\ucf54\ub2e4\ub9ac\uc870\ub9bc(2\uc778\ubd84)"", ""\uac00\uc790\ubbf8\uad6c\uc774(1\uc778\ubd84)(\ud55c\ub9c8\ub9ac)"", ""\uace0\ub4f1\uc5b4\uad6c\uc774(1\uc778\ubd84)(\ubc18\ub9c8\ub9ac)"", ""\ub2ed\ubcf6\uc74c\ud0d5(\ubc18\ub9c8\ub9ac)(2\uc778\ubd84)"", ""\ub2ed\ubcf6\uc74c\ud0d5(\ud55c\ub9c8\ub9ac)(3\uc778\ubd84)"", ""\uaf43\uac8c\ud0d5(2\uc778\ubd84)"", ""\uc81c\uc721\ubcf6\uc74c"", ""\uc18c\ubd88\uace0\uae30\ubcf6\uc74c"", ""\uc624\uc9d5\uc5b4\ubcf6\uc74c"", ""\uaf43\ub3c4\ub9ac\ud0d5(\uc911)(3\uc778\ubd84)"", ""\uaf43\ub3c4\ub9ac\ud0d5(\ub300)(4\uc778\ubd84)""]",kakao map
1566670702,꿀때기곱창,서울 강남구 역삼로63길 13 1층 (우)06198,02-558-0809,"3.7
점",24,매일 16:00 ~ 01:00,"곱창,막창","[""\uc57c\ucc44\uacf1\ucc3d"", ""\uc54c\uacf1\ucc3d"", ""\uc21c\ub300\uacf1\ucc3d""]",kakao map
1927791928,샤브테이블 롯데백화점잠실점,서울 송파구 올림픽로 240 지하 1층 (우)05554,,"0
점",0,,샤브샤브,[],kakao map
234736616,대림국수,서울 서초구 서초중앙로22길 25 서초리시온 1층 113호 (우)06634,02-545-6848,"1.0
점",1,,국수,[],kakao map
16039519,느낌,서울 강동구 성안로 43 (우)05396,02-482-2218,"0
점",0,,술집,[],kakao map
23037858,호박민속주점,서울 송파구 중대로9길 45-5 (우)05711,,"5.0
점",1,,"호프,요리주점",[],kakao map
